===============================================================
Gobuster v3.1.0
by OJ Reeves (@TheColonial) & Christian Mehlmauer (@firefart)
===============================================================
[+] Url:                     http://10.10.51.178:5003/
[+] Method:                  GET
[+] Threads:                 40
[+] Wordlist:                /usr/share/wordlists/directory_enum/directory-list-2.3-medium.txt
[+] Negative Status codes:   404
[+] User Agent:              gobuster/3.1.0
[+] Extensions:              html,php,txt
[+] Timeout:                 10s
===============================================================
2022/02/10 13:02:38 Starting gobuster in directory enumeration mode
===============================================================
/viewtopic            (Status: 500) [Size: 62680]
/pixel                (Status: 500) [Size: 62624]
/overview             (Status: 500) [Size: 62666]
/general              (Status: 500) [Size: 62652]
/solutions            (Status: 500) [Size: 62680]
/feeds                (Status: 500) [Size: 62624]
/wp-content           (Status: 500) [Size: 62694]
/index2               (Status: 500) [Size: 62638]
/catalog              (Status: 500) [Size: 62652]
/list                 (Status: 500) [Size: 62610]
/travel               (Status: 500) [Size: 62638]
/documents            (Status: 500) [Size: 62680]
/hardware             (Status: 500) [Size: 62666]
/us                   (Status: 500) [Size: 62582]
/screenshots          (Status: 500) [Size: 62708]
/online               (Status: 500) [Size: 62638]
/wireless             (Status: 500) [Size: 62666]
/dir                  (Status: 500) [Size: 62596]
/weblog               (Status: 500) [Size: 62638]
/version              (Status: 500) [Size: 62652]
/adclick              (Status: 500) [Size: 62652]
/tips                 (Status: 500) [Size: 62610]
/global               (Status: 500) [Size: 62638]
/movies               (Status: 500) [Size: 62638]
/button               (Status: 500) [Size: 62638]
/tech                 (Status: 500) [Size: 62610]
/directory            (Status: 500) [Size: 62680]
/homepage             (Status: 500) [Size: 62666]
/p                    (Status: 500) [Size: 62568]
/welcome              (Status: 500) [Size: 62652]
/2001                 (Status: 500) [Size: 62610]
/policy               (Status: 500) [Size: 62638]
/releases             (Status: 500) [Size: 62666]
/contact_us           (Status: 500) [Size: 62694]
/link                 (Status: 500) [Size: 62610]
/member               (Status: 500) [Size: 62638]
/training             (Status: 500) [Size: 62666]
/mobile               (Status: 500) [Size: 62638]
/join                 (Status: 500) [Size: 62610]
/staff                (Status: 500) [Size: 62624]
