Target: http://10.10.191.254/api/items?FUZZ=test
Total requests: 4702
==================================================================
ID    Response   Lines      Word         Chars          Request    
==================================================================
00169:  C=400      0 L	       1 W	     45 Ch	  "5"
00168:  C=400      0 L	       1 W	     45 Ch	  "42"
00163:  C=400      0 L	       1 W	     45 Ch	  "4"
00165:  C=400      0 L	       1 W	     45 Ch	  "401"
00166:  C=400      0 L	       1 W	     45 Ch	  "403"
00171:  C=400      0 L	       1 W	     45 Ch	  "500"
00174:  C=400      0 L	       1 W	     45 Ch	  "64"
00175:  C=400      0 L	       1 W	     45 Ch	  "7"
00173:  C=400      0 L	       1 W	     45 Ch	  "6"
00170:  C=400      0 L	       1 W	     45 Ch	  "50"
00172:  C=400      0 L	       1 W	     45 Ch	  "51"
00176:  C=400      0 L	       1 W	     45 Ch	  "7z"
00178:  C=400      0 L	       1 W	     45 Ch	  "9"
00181:  C=400      0 L	       1 W	     45 Ch	  "A"
00182:  C=400      0 L	       1 W	     45 Ch	  "ADM"
00180:  C=400      0 L	       1 W	     45 Ch	  "@"
00177:  C=400      0 L	       1 W	     45 Ch	  "8"
00179:  C=400      0 L	       1 W	     45 Ch	  "96"
00183:  C=400      0 L	       1 W	     45 Ch	  "ADMIN"
00185:  C=400      0 L	       1 W	     45 Ch	  "AT-admin.cgi"
00188:  C=400      0 L	       1 W	     45 Ch	  "Admin"
00187:  C=400      0 L	       1 W	     45 Ch	  "AboutUs"
00184:  C=400      0 L	       1 W	     45 Ch	  "ADMON"
00186:  C=400      0 L	       1 W	     45 Ch	  "About"
00189:  C=400      0 L	       1 W	     45 Ch	  "AdminService"
00191:  C=400      0 L	       1 W	     45 Ch	  "Administration"
00194:  C=400      0 L	       1 W	     45 Ch	  "AppsLogin"
00195:  C=400      0 L	       1 W	     45 Ch	  "Archive"
00193:  C=400      0 L	       1 W	     45 Ch	  "AppsLocalLogin"
00190:  C=400      0 L	       1 W	     45 Ch	  "AdminTools"
00192:  C=400      0 L	       1 W	     45 Ch	  "AggreSpy"
00196:  C=400      0 L	       1 W	     45 Ch	  "Articles"
00198:  C=400      0 L	       1 W	     45 Ch	  "BUILD"
00201:  C=400      0 L	       1 W	     45 Ch	  "Blog"
00202:  C=400      0 L	       1 W	     45 Ch	  "Books"
00200:  C=400      0 L	       1 W	     45 Ch	  "Base"
00197:  C=400      0 L	       1 W	     45 Ch	  "B"
00199:  C=400      0 L	       1 W	     45 Ch	  "BackOffice"
00203:  C=400      0 L	       1 W	     45 Ch	  "Browser"
00205:  C=400      0 L	       1 W	     45 Ch	  "C"
00208:  C=400      0 L	       1 W	     45 Ch	  "CVS"
00209:  C=400      0 L	       1 W	     45 Ch	  "CVS/Entries"
00207:  C=400      0 L	       1 W	     45 Ch	  "CPAN"
00204:  C=400      0 L	       1 W	     45 Ch	  "Business"
00206:  C=400      0 L	       1 W	     45 Ch	  "CMS"
00210:  C=400      0 L	       1 W	     45 Ch	  "CVS/Repository"
00212:  C=400      0 L	       1 W	     45 Ch	  "CYBERDOCS"
00215:  C=400      0 L	       1 W	     45 Ch	  "ChangeLog"
00216:  C=400      0 L	       1 W	     45 Ch	  "Computers"
00214:  C=400      0 L	       1 W	     45 Ch	  "CYBERDOCS31"
00211:  C=400      0 L	       1 W	     45 Ch	  "CVS/Root"
00213:  C=400      0 L	       1 W	     45 Ch	  "CYBERDOCS25"
00217:  C=400      0 L	       1 W	     45 Ch	  "Contact"
00219:  C=400      0 L	       1 W	     45 Ch	  "Content"
00222:  C=400      0 L	       1 W	     45 Ch	  "DB"
00223:  C=400      0 L	       1 W	     45 Ch	  "DMSDump"
